R,G,B
0,12,8
0,12,8
0,12,0
0,16,8
0,16,0
0,16,0
0,16,0
0,16,0
0,16,8
0,16,8
0,16,8
0,16,8
0,12,8
0,16,8
0,16,8
0,16,8
0,16,16
0,16,16
0,16,0
0,20,0
0,20,0
0,20,8
0,20,8
0,20,8
0,20,8
0,20,8
0,20,8
0,20,8
0,20,16
0,16,16
0,24,0
0,24,8
0,20,8
0,20,16
0,24,16
0,24,16
0,24,8
0,28,8
0,28,16
0,28,16
0,24,16
0,28,8
0,28,16
0,28,16
0,32,16
0,32,16
0,32,24
0,32,24
0,32,16
0,32,16
0,36,8
0,36,16
0,40,8
0,40,8
0,44,16
0,40,16
0,44,16
0,44,16
0,48,24
0,44,24
0,44,16
0,44,16
0,44,16
0,44,16
0,48,24
0,48,32
0,44,16
0,48,24
0,48,24
8,48,24
0,52,16
0,52,16
0,44,8
0,52,16
0,44,8
8,52,16
0,56,16
0,52,16
0,52,8
0,52,8
0,48,8
0,52,8
0,52,16
0,52,24
0,48,32
0,48,32
0,52,16
0,52,16
0,52,16
0,52,16
0,44,24
0,48,24
0,44,16
0,44,24
0,44,24
0,44,24
0,44,24
0,44,24
0,44,24
0,44,24
0,40,24
8,44,24
8,40,32
8,40,32
8,40,24
0,40,24
8,40,24
8,44,24
8,44,32
0,40,32
8,40,32
0,40,24
8,40,24
8,36,24
8,40,32
8,36,32
8,40,32
0,36,24
0,40,32
0,40,32
8,36,32
8,36,32
0,36,24
8,40,24
8,32,24
8,32,24
8,28,24
8,32,32
0,28,32
0,28,32
0,32,32
0,28,32
16,24,32
8,24,32
16,28,16
8,24,16
8,20,16
8,24,16
8,24,24
8,24,24
8,24,16
8,28,16
8,16,24
8,20,16
0,20,8
8,20,8
0,16,24
0,16,24
0,16,16
0,16,16
0,20,8
0,20,8
0,20,16
0,16,8
0,16,16
0,20,16
0,16,16
0,16,16
0,12,8
8,12,8
0,16,24
0,16,16
0,16,16
0,16,16
0,12,24
0,16,24
0,16,16
8,20,24
0,16,24
0,16,24
0,16,24
0,16,24
8,16,24
8,16,24
8,16,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,16
8,20,24
8,20,24
8,20,24
8,24,24
8,24,24
8,24,24
8,24,24
8,24,24
8,28,24
8,24,32
8,28,32
8,28,32
8,28,32
8,28,32
16,28,40
8,28,40
8,32,40
8,36,40
8,36,40
8,36,40
8,36,40
8,32,40
16,36,40
8,40,40
8,40,40
8,40,48
8,40,48
8,44,40
16,44,40
16,40,40
16,44,48
16,48,48
16,48,48
16,44,48
16,48,48
16,48,40
16,48,40
16,48,48
16,48,48
8,52,48
16,52,48
16,52,40
16,56,48
16,52,48
16,52,48
16,52,48
16,52,48
16,52,56
16,56,56
16,56,56
16,52,56
16,56,64
16,52,56
16,56,56
16,56,56
16,52,56
16,56,56
8,56,48
16,56,48
16,56,48
16,56,48
16,56,48
16,52,48
16,52,48
16,52,48
16,52,48
16,52,48
8,48,48
16,52,48
16,52,40
16,48,40
16,52,48
16,48,48
16,52,40
16,52,48
16,48,48
16,48,48
16,48,48
16,48,48
16,48,56
16,48,56
16,48,56
16,48,56
24,48,56
24,48,56
24,48,56
24,48,56
32,52,56
32,48,56
24,44,56
24,44,56
24,44,56
24,44,56
24,40,56
24,40,64
16,44,64
16,40,56
16,40,56
16,40,56
16,36,48
24,36,56
16,36,56
16,32,56
16,36,56
16,36,56
16,32,48
16,32,48
16,32,48
16,32,48
16,28,40
16,28,48
16,28,48
16,24,48
16,24,48
16,24,48
16,20,48
16,20,40
16,20,32
16,20,32
16,16,32
8,16,32
8,20,32
8,20,32
0,16,32
8,20,32
8,16,32
8,16,32
8,16,24
8,16,24
8,20,24
8,20,24
0,16,24
0,16,16
0,16,24
8,16,24
8,16,24
8,12,24
8,16,16
8,16,16
8,12,24
8,16,24
8,16,24
8,16,24
8,16,24
0,12,24
8,20,16
8,20,16
8,16,16
8,16,16
8,16,16
8,16,16
8,16,24
8,20,24
8,20,24
8,20,24
8,20,24
0,20,24
8,20,24
8,20,24
8,20,24
8,24,24
8,24,16
8,24,24
8,24,24
8,24,24
8,28,24
8,24,24
8,28,24
8,28,24
8,28,24
16,28,24
16,28,24
16,32,32
16,32,32
16,32,32
16,32,32
16,32,40
16,36,32
16,36,32
16,40,32
16,36,32
16,36,32
24,36,40
16,40,40
16,40,40
16,44,40
16,44,40
16,44,40
16,44,40
16,44,40
16,44,48
16,48,40
16,48,40
16,44,48
24,48,48
24,48,40
24,48,40
24,52,48
24,52,48
16,52,40
16,52,48
24,52,56
24,52,56
24,52,48
24,52,48
24,56,40
24,56,40
24,56,40
24,60,40
24,56,56
24,56,56
24,56,56
24,56,56
16,56,48
24,60,48
24,56,48
24,56,48
16,56,40
24,56,40
24,56,48
24,56,48
24,56,48
24,56,48
16,56,48
24,52,48
24,52,40
24,52,48
16,52,48
16,52,48
24,52,40
24,52,40
24,52,40
24,52,40
24,48,48
24,52,48
24,52,48
16,48,48
24,48,48
24,48,48
24,48,48
24,48,56
24,48,56
24,48,56
24,52,56
24,48,56
32,48,56
32,48,56
32,44,56
32,48,56
32,44,56
32,44,56
32,44,56
32,44,56
32,44,56
32,44,56
32,40,56
32,40,56
32,44,48
24,40,48
32,36,48
32,36,56
32,32,56
32,32,56
24,36,48
24,36,48
24,32,48
24,32,48
24,32,40
24,28,40
24,32,40
24,32,40
16,24,40
16,28,40
16,24,40
16,24,40
16,20,40
16,24,40
16,24,32
16,24,32
16,20,32
16,20,32
16,20,24
8,20,32
16,20,32
16,20,32
16,20,24
16,16,24
8,20,24
8,20,24
8,16,24
8,20,24
0,20,16
0,16,24
8,16,24
8,16,24
8,16,16
8,12,16
0,20,16
0,20,16
8,16,16
8,16,16
8,16,16
8,16,16
8,16,16
8,16,16
8,16,16
8,20,16
8,16,24
8,16,24
8,20,16
8,20,16
8,20,24
8,16,24
8,16,24
8,16,24
8,20,16
8,20,16
8,20,16
8,20,24
8,24,24
8,20,24
8,20,24
16,24,24
8,24,24
16,24,24
8,28,24
8,28,24
8,24,24
8,28,24
16,24,32
16,28,32
16,28,32
16,32,32
16,32,24
16,32,32
16,32,32
16,32,32
16,36,32
16,36,32
16,40,32
16,40,32
16,40,32
16,40,32
16,40,32
24,40,40
16,44,40
24,44,40
24,44,40
24,44,40
16,48,40
16,48,40
16,48,40
16,48,48
16,48,48
16,48,48
16,52,40
16,52,48
16,52,48
16,56,48
24,56,48
24,56,48
24,56,48
24,56,48
24,56,48
24,56,48
24,56,40
32,60,40
32,60,40
24,60,48
24,56,48
24,56,48
24,60,56
24,60,56
24,60,48
24,64,48
24,60,48
24,60,48
24,60,48
24,56,48
24,60,48
24,60,48
24,60,48
24,56,48
24,60,48
24,56,48
24,56,40
24,56,40
24,56,48
24,52,48
24,56,48
24,56,48
24,52,48
24,52,48
24,52,48
24,52,48
24,52,48
32,52,48
24,52,48
24,48,48
24,48,48
24,52,48
24,48,56
32,52,64
32,48,64
32,48,64
32,48,56
32,48,56
32,48,56
32,48,56
32,48,56
32,48,56
32,44,56
32,48,56
32,44,56
32,40,56
32,44,56
32,44,56
24,44,48
32,40,48
24,40,56
24,36,56
32,36,56
32,32,48
24,36,48
24,36,48
24,32,48
24,32,48
24,32,48
16,28,48
24,28,40
24,28,40
16,28,40
16,28,40
16,24,32
16,24,32
16,24,32
16,20,24
16,24,32
16,24,32
16,20,24
16,20,32
16,20,32
16,20,32
16,20,32
8,16,32
16,16,24
16,16,24
8,20,24
8,20,24
8,16,16
8,16,16
8,20,16
0,16,16
8,16,16
8,16,16
8,12,16
8,12,16
8,16,16
8,16,16
8,16,16
8,16,16
8,20,16
0,16,16
8,16,16
8,16,16
8,16,16
8,16,16
8,20,16
8,16,16
8,16,16
8,16,24
8,16,16
8,16,16
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,20,24
8,24,24
8,24,24
16,20,24
16,24,24
8,28,24
8,28,24
16,28,24
16,24,32
16,28,32
16,28,32
16,24,32
16,24,32
16,32,32
16,32,32
16,28,32
16,32,32
16,36,32
16,36,32
16,36,32
16,36,32
16,36,32
24,36,32
16,40,40
16,40,40
16,40,40
24,44,40
16,44,40
24,44,40
16,48,40
16,48,40
24,48,40
24,48,48
24,48,48
24,48,48
24,52,40
16,52,40
16,52,48
16,52,48
24,52,48
24,52,48
24,56,40
24,56,48
24,60,48
32,56,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,64,48
24,64,48
24,64,48
24,60,48
16,60,48
24,64,48
24,64,48
24,60,48
24,60,56
16,60,56
24,60,48
24,60,48
24,56,48
24,60,48
24,60,48
24,60,48
24,56,48
24,56,48
16,56,48
24,60,48
24,56,48
24,56,48
24,52,48
24,56,48
24,52,48
24,52,48
24,52,56
24,52,48
24,52,56
24,52,56
32,52,56
32,56,56
32,48,56
32,52,56
32,52,56
32,52,64
32,52,56
32,52,56
32,48,56
32,48,56
32,44,56
32,48,56
32,44,56
32,44,64
32,48,64
32,44,56
24,44,56
32,44,56
32,40,56
24,40,48
24,40,48
24,40,48
16,36,56
24,36,56
24,32,48
24,32,48
24,32,48
24,32,40
24,28,40
24,28,40
24,28,40
16,24,40
24,24,32
24,20,32
24,24,32
16,20,32
16,20,32
16,20,32
16,20,32
16,20,24
8,20,24
16,20,24
16,20,24
16,16,24
16,16,24
16,16,24
16,20,16
16,20,16
16,16,24
16,16,24
8,16,16
8,16,16
8,16,24
8,16,24
0,16,16
8,16,16
8,16,16
8,16,16
0,16,8
8,16,16
0,20,16
0,20,16
8,12,16
8,16,16
8,16,16
8,16,16
0,20,16
0,20,16
8,20,16
8,20,16
16,16,16
16,20,16
8,20,24
8,20,24
8,20,24
8,20,24
16,20,16
16,20,24
8,24,24
8,24,24
16,20,24
16,20,24
8,28,24
8,28,24
8,24,24
8,28,24
16,28,24
16,28,24
16,32,24
16,32,24
16,32,32
16,36,32
16,32,32
16,36,32
16,36,32
16,36,32
16,36,32
16,36,32
16,36,40
24,36,40
16,40,40
24,44,40
24,44,40
24,44,40
24,44,40
24,48,40
24,48,32
24,48,40
24,48,48
24,48,48
24,48,48
24,48,48
24,52,40
24,52,48
24,52,48
24,56,48
24,52,48
24,56,56
24,60,48
24,60,48
24,60,48
32,60,48
24,60,56
24,60,56
24,64,48
24,64,56
24,60,56
24,60,56
24,64,56
24,64,56
16,64,56
24,68,56
24,64,56
24,64,56
24,64,56
24,64,56
24,64,56
24,64,56
24,64,48
24,68,48
24,64,48
24,64,48
24,60,48
24,60,56
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,60,48
24,56,56
24,60,48
24,60,48
24,56,56
24,56,56
24,52,56
24,52,56
32,52,56
32,52,56
24,52,56
32,56,64
32,56,64
32,56,64
24,56,64
32,56,64
32,56,64
32,56,64
32,52,56
32,48,56
32,48,56
32,48,56
32,44,64
32,48,64
32,48,56
32,44,64
24,44,64
32,40,64
32,44,56
24,40,56
24,40,48
24,40,48
24,36,48
16,36,48
24,36,48
24,32,48
24,36,48
24,32,48
24,28,40
24,32,40
24,28,40
16,24,40
24,24,32
24,20,32
16,20,32
16,20,32
16,24,24
16,20,24
8,20,24
16,20,24
16,20,24
16,20,24
16,16,16
16,16,24
8,16,24
16,16,24
16,16,24
16,16,24
16,16,24
16,16,24
8,16,24
8,16,24
8,16,16
8,16,24
8,12,24
8,16,24
8,16,8
8,20,16
0,16,16
8,16,16
8,20,8
8,20,8
8,16,8
8,16,16
8,16,24
8,16,24
8,20,16
8,16,16
8,16,16
8,16,16
8,20,16
8,20,16
0,20,16
8,24,24
8,24,24
8,20,24
8,20,24
8,20,24
16,20,24
16,20,24
8,20,24
16,24,24
16,24,24
16,28,24
16,24,32
16,24,32
16,28,40
16,28,32
16,28,24
16,32,24
16,32,40
16,32,40
16,32,40
16,36,40
16,32,40
16,36,40
16,36,40
16,40,40
16,36,48
16,40,48
16,44,40
24,44,40
24,40,40
24,44,40
16,48,40
16,48,40
24,48,48
24,48,48
24,48,48
24,48,48
24,52,48
24,52,48
24,52,40
24,56,48
24,56,48
24,60,48
24,56,48
24,56,56
24,64,48
24,64,48
24,60,56
24,60,56
24,60,56
24,64,56
24,64,56
24,60,56
24,64,56
24,64,56
24,64,56
24,64,56
24,68,48
24,68,56
32,64,56
32,64,56
32,64,56
24,64,56
24,68,48
24,68,48
32,68,48
24,64,48
24,64,56
24,64,56
24,64,56
24,64,56
24,64,48
24,60,48
24,60,48
24,60,48
24,60,56
24,60,56
24,60,64
24,60,56
24,60,56
24,60,56
32,56,56
32,56,56
32,56,56
32,56,56
32,52,56
32,56,56
32,56,64
32,56,64
32,60,64
32,60,64
32,56,56
32,56,56
40,56,64
32,56,64
40,52,64
40,52,64
40,52,56
40,52,56
40,44,64
40,48,64
32,48,64
32,44,64
32,44,64
32,44,64
24,40,56
32,40,56
24,40,56
24,40,56
24,36,48
24,36,48
24,36,48
24,32,48
24,32,48
24,32,48
24,28,40
16,28,40
16,24,48
16,24,48
16,24,40
16,24,40
16,20,32
16,20,32
16,24,24
16,20,24
8,20,32
8,20,32
8,20,32
8,16,32
8,20,24
8,20,24
8,20,24
8,16,24
8,16,24
8,16,24
8,16,24
8,16,24
16,16,24
16,16,24
8,16,24
8,16,24
8,12,24
8,12,24
8,16,8
8,16,16
0,16,16
8,16,16
8,16,16
8,16,16
8,12,16
8,16,16
8,16,16
8,20,16
8,20,16
8,16,16
8,16,24
8,16,24
8,20,24
8,20,16
8,20,24
8,20,24
8,20,24
8,20,24
8,20,16
8,24,24
8,20,24
16,24,24
8,24,24
8,24,32
8,24,24
8,24,24
16,28,24
16,28,24
16,28,32
16,28,32
16,28,32
16,32,32
16,28,32
16,32,32
24,32,40
24,32,40
16,36,40
16,36,40
16,40,40
16,40,40
16,40,40
16,40,40
16,44,40
