R,G,B
16,16,184
24,20,184
16,20,192
16,20,192
16,20,200
16,24,200
24,20,200
24,20,208
24,24,208
24,24,208
24,20,216
24,24,216
24,24,216
24,24,216
24,24,224
24,24,224
24,24,224
24,28,224
24,24,224
24,24,224
24,24,224
24,24,224
24,24,232
24,28,232
16,28,232
24,28,232
24,28,240
24,28,240
24,24,240
24,24,240
24,24,240
24,24,240
24,28,240
24,28,240
24,24,232
24,24,232
24,28,232
24,24,232
24,24,224
24,28,232
24,24,232
24,20,224
24,24,232
24,20,232
24,24,224
16,20,224
24,20,224
24,16,224
16,24,216
16,24,216
24,24,208
24,24,208
24,20,200
24,24,208
24,24,200
24,20,200
24,20,192
24,20,192
24,20,192
24,24,192
24,20,184
24,20,192
24,24,184
24,20,184
24,24,176
24,24,176
24,24,168
24,24,168
24,20,160
24,20,160
24,24,152
24,20,144
24,20,152
24,20,152
24,24,136
24,24,136
24,24,136
24,20,136
16,24,120
16,24,128
24,20,120
24,20,120
24,20,112
16,20,112
16,20,104
16,20,104
8,20,96
8,16,104
16,16,96
16,12,96
16,16,96
16,12,96
16,16,88
16,12,88
16,12,88
16,12,88
16,8,80
16,12,88
8,12,88
8,12,88
8,12,80
8,8,80
16,8,72
16,8,80
8,8,72
8,12,72
8,12,64
8,12,64
8,8,72
8,4,64
8,8,72
8,8,72
0,8,72
8,8,80
8,8,80
8,8,80
8,8,88
8,8,88
0,8,80
0,8,80
8,8,80
8,8,80
0,8,80
8,8,80
8,8,88
8,8,88
8,8,88
8,8,88
8,8,88
8,12,88
8,8,88
8,8,88
8,8,104
8,8,104
8,12,104
8,12,104
8,8,112
8,8,112
8,12,112
8,12,112
8,12,120
8,12,120
8,12,120
8,16,120
16,12,128
16,16,128
8,12,136
16,16,136
16,16,144
16,16,144
16,16,160
16,16,152
16,12,168
16,16,168
16,16,168
16,16,168
16,16,176
16,20,176
16,16,184
16,16,184
16,20,192
16,20,192
16,20,200
16,20,200
16,20,208
16,24,208
16,24,208
16,24,208
24,20,216
24,24,216
24,24,216
24,24,216
16,24,216
24,24,224
24,24,232
24,24,232
24,24,232
24,28,232
24,24,232
24,24,232
24,24,240
24,24,240
24,28,240
24,28,240
24,28,240
24,28,248
24,32,240
24,32,240
24,28,240
24,28,248
24,28,240
24,28,240
24,24,240
32,24,240
24,28,232
24,28,232
24,28,240
24,28,240
16,24,232
24,28,240
24,24,240
24,24,240
24,24,240
24,24,240
24,24,232
24,24,232
24,24,224
24,20,224
24,24,216
16,20,224
24,24,216
24,24,216
24,16,216
24,20,216
24,24,208
24,24,208
24,24,200
24,24,200
24,24,200
24,24,200
32,24,192
32,24,192
24,24,184
24,24,184
24,24,176
24,24,176
24,24,168
24,24,168
24,24,160
24,24,160
24,24,152
24,24,152
24,24,144
32,24,152
32,24,136
32,24,136
24,20,136
24,20,136
24,24,120
24,24,128
24,20,120
24,20,120
24,20,112
24,20,112
16,16,104
16,20,104
16,16,104
16,16,104
16,16,96
16,16,96
8,16,96
8,12,96
16,16,88
8,12,88
8,12,80
8,12,80
16,8,80
16,8,88
8,12,80
8,12,80
8,8,80
8,8,80
8,8,80
8,8,80
8,8,72
8,8,72
8,8,72
8,8,72
0,8,72
0,4,72
8,8,72
8,8,72
8,4,80
8,4,80
0,8,80
8,8,80
8,4,88
8,8,88
0,8,80
0,8,80
8,8,80
8,8,80
8,8,88
8,8,88
8,4,88
8,8,88
8,8,80
8,8,88
8,8,88
8,12,88
8,8,96
8,12,96
8,8,96
8,8,104
0,12,104
8,12,104
8,12,104
8,12,104
8,8,120
16,12,120
8,12,120
8,12,120
16,12,120
16,12,120
16,12,128
16,12,136
16,12,144
16,12,144
16,16,144
16,16,144
16,12,160
16,16,160
8,16,168
16,20,168
16,16,176
16,16,176
16,16,184
16,20,184
24,20,192
24,20,192
16,20,200
16,24,200
16,20,208
16,24,208
16,24,208
16,24,208
16,24,216
24,24,216
24,24,224
24,24,224
24,28,232
24,28,224
16,28,224
24,28,224
24,24,232
24,28,240
24,28,240
24,32,240
24,28,248
24,24,248
24,28,248
24,28,248
24,28,248
24,28,248
16,32,248
24,32,248
24,32,248
24,32,240
24,28,248
24,28,248
24,32,248
24,32,248
24,28,240
24,32,248
24,36,248
24,32,240
24,32,248
16,28,240
24,28,248
24,28,248
24,24,248
24,24,248
24,28,240
