R,G,B
168,252,248
120,244,240
96,148,216
80,124,200
72,100,160
72,100,152
72,96,136
72,104,144
120,144,136
160,184,176
136,192,248
80,140,208
104,116,144
112,116,144
136,156,168
168,188,200
136,188,240
128,180,232
96,140,192
72,120,168
80,132,152
96,148,168
80,128,192
88,124,192
72,88,160
40,60,128
24,56,80
16,52,80
32,44,72
32,44,72
32,52,88
48,68,104
32,60,96
56,88,128
56,80,128
32,56,104
80,96,128
80,96,128
88,100,112
112,124,144
136,172,192
136,172,192
120,164,232
64,108,176
56,80,104
96,124,152
88,136,208
8,56,128
16,24,40
16,24,40
8,24,48
8,20,40
8,20,24
8,16,24
8,16,32
8,12,32
8,16,24
8,20,24
8,16,24
8,16,24
8,16,16
8,16,16
0,16,16
8,16,16
8,12,16
8,12,16
0,12,24
0,12,24
8,12,16
0,8,16
0,8,8
0,12,16
0,8,8
0,12,16
0,8,16
0,12,16
0,12,16
0,12,16
0,8,24
0,4,16
0,4,16
0,4,16
0,8,8
0,4,0
0,8,0
0,8,0
0,4,16
0,4,16
0,4,16
0,0,16
0,4,0
0,4,0
0,0,0
8,0,0
0,0,16
0,4,16
0,4,0
0,4,8
0,4,8
0,4,8
0,4,8
0,0,0
0,4,8
0,0,0
0,8,0
0,4,0
0,0,0
0,4,0
0,4,0
0,8,0
0,4,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,4,0
0,4,0
0,4,0
0,4,0
0,0,0
0,0,0
0,0,8
0,0,8
0,0,0
0,4,0
0,0,0
0,0,0
0,4,0
0,4,0
0,4,0
0,4,0
0,0,0
0,4,0
0,4,0
0,4,8
0,4,0
0,4,0
0,0,8
0,0,8
0,4,8
0,0,8
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,4,0
0,0,0
0,0,0
192,216,248
112,136,224
128,140,200
104,116,184
104,116,176
112,124,192
104,108,168
160,168,224
224,248,248
184,208,248
128,144,200
128,140,200
128,144,192
200,212,248
216,232,248
216,232,248
216,236,248
200,224,248
160,176,248
120,136,208
120,132,192
136,148,208
160,196,240
136,172,216
144,168,216
88,112,160
48,52,120
56,64,128
48,60,112
48,56,112
56,68,136
80,96,160
80,84,152
104,108,176
128,136,200
48,60,120
88,96,144
128,144,192
104,104,160
224,228,248
208,224,248
208,224,248
224,236,248
136,152,224
88,100,160
144,152,216
168,184,232
112,128,168
24,36,64
24,36,64
16,32,56
16,28,56
16,28,48
16,24,48
16,20,40
16,20,40
8,16,40
16,20,40
16,20,40
16,20,40
8,16,32
8,16,32
16,16,40
16,16,32
8,16,40
8,12,40
8,12,32
8,12,32
8,12,32
8,12,32
0,8,24
8,12,24
8,8,24
8,8,24
0,8,24
0,8,24
0,12,16
0,8,16
0,12,8
0,12,8
0,8,8
0,12,16
0,8,24
0,4,16
0,8,16
0,8,16
0,4,16
0,4,16
0,4,8
0,4,8
8,4,8
8,0,8
8,4,8
0,0,8
0,4,8
0,4,8
0,4,8
0,4,8
0,0,8
0,0,8
0,0,8
0,4,8
0,0,8
0,0,8
0,0,16
0,0,8
0,0,0
0,4,0
0,4,0
0,4,0
0,0,0
0,0,8
0,0,0
0,0,0
0,4,0
0,4,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,4,0
0,4,0
0,4,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,4,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,4,0
0,4,0
120,128,152
112,120,144
112,108,168
112,104,168
112,100,160
120,112,168
192,200,224
208,220,248
176,176,240
120,124,184
120,128,176
144,156,200
192,216,248
176,204,248
176,196,248
208,232,248
224,240,248
216,232,248
208,212,248
128,136,208
128,132,192
120,128,184
152,148,216
120,116,184
224,216,248
96,88,168
72,68,120
56,56,104
64,60,104
