R,G,B
24,0,0
24,4,8
16,4,8
24,4,8
24,0,8
24,4,8
24,4,0
24,4,0
24,4,0
24,4,8
24,4,0
24,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,4,0
32,0,0
32,4,0
32,4,0
24,0,0
32,4,0
32,8,0
32,4,0
32,4,0
32,8,0
32,8,0
40,4,8
32,0,0
32,4,0
32,8,8
40,4,8
40,4,8
40,8,16
40,4,8
48,8,0
48,8,0
40,8,0
48,4,0
56,4,0
56,4,0
56,4,8
56,8,8
56,4,8
64,4,8
56,8,8
56,4,8
72,4,8
72,4,8
64,4,8
64,8,8
72,4,8
72,8,16
72,4,8
72,4,8
80,4,8
80,4,8
80,4,0
80,8,0
88,4,8
88,4,8
88,4,8
88,4,8
96,0,8
96,4,8
88,0,8
96,4,16
104,0,16
96,4,16
96,4,0
96,4,0
112,4,0
112,4,0
104,4,8
104,4,8
104,0,8
104,4,8
96,0,16
104,4,16
104,0,16
104,0,24
112,0,8
112,0,8
104,0,16
104,0,16
104,0,8
104,0,8
96,4,8
104,4,8
96,4,8
96,4,8
96,0,8
96,0,8
96,4,0
96,4,0
96,4,8
88,0,8
96,4,8
88,0,8
80,4,16
80,8,24
80,8,16
80,8,16
80,4,8
80,4,16
80,4,16
80,4,16
72,8,16
72,8,16
72,8,8
72,8,8
64,8,16
72,8,16
56,12,16
56,12,16
56,12,24
56,8,24
56,12,24
48,8,24
56,12,16
56,12,16
48,8,24
48,12,24
48,12,24
48,12,24
48,12,24
48,8,16
40,8,24
40,12,24
40,12,16
40,12,16
40,12,24
32,8,16
32,12,16
32,12,16
32,8,16
32,8,16
32,12,8
32,8,8
32,12,16
24,8,16
32,8,16
32,8,16
32,12,16
24,4,8
24,8,8
24,12,8
24,8,8
24,12,16
24,8,16
24,4,16
24,8,16
24,8,16
16,8,16
16,8,16
24,4,16
16,4,16
24,8,8
24,4,8
24,8,24
24,4,24
24,8,16
24,8,16
24,4,16
24,8,16
24,8,16
24,8,16
24,8,16
24,8,16
